Depth (feet),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
8138,108.7361633,5.950341743,6.088101378,5.768256271,5.395174754,0.050891923,0.221799888
8138.5,108.7398381,5.542468943,6.489541744,6.018415679,5.444214468,0.05384188,0.220558237
8139,109.9409159,4.985443984,6.804671148,6.048915225,5.481468593,0.055934391,0.215248111
8139.5,113.4553202,4.738236192,6.822351069,6.089567562,5.509673411,0.059062788,0.209345859
8140,118.5302906,4.486424636,6.563832915,6.154239189,5.533099643,0.063967169,0.207995739
8140.5,120.8559718,3.928806819,6.44742623,6.182358838,5.512716734,0.070463147,0.20805671
8141,115.1770694,3.326144638,6.529370611,6.138840485,5.348917759,0.07694478,0.207980454
8141.5,112.3810618,3.230889724,6.597324103,6.012050531,5.117090628,0.079983098,0.208238201
8142,109.0076183,3.853853056,6.4897404,5.834057082,4.908163251,0.076465644,0.209224195
8142.5,106.1895303,4.348568274,6.299585724,5.642265999,4.790015057,0.067935625,0.210969746
8143,109.2568167,3.86042998,6.164192674,5.469969782,4.758714289,0.066147668,0.213086127
8143.5,116.0781497,2.918540144,6.080884131,5.338673081,4.78628188,0.065134555,0.214931733
8144,108.622689,2.15324648,5.976688658,5.25554217,4.847020832,0.063132444,0.218097442
8144.5,103.313648,1.322070469,5.869532049,5.227089046,4.916589699,0.059820412,0.224740337
8145,99.82362445,0.095113528,5.88127688,5.256183069,4.988344828,0.056839118,0.230572044
8145.5,91.4548824,-1.854565707,6.127417083,5.319802889,5.068258923,0.06022421,0.2222509
8146,81.04694429,-4.848214895,6.594779701,5.385282866,5.162956767,0.066620876,0.225000618
8146.5,78.40435531,-8.644772034,7.15254672,5.42112667,5.27911636,0.074303278,0.220262312
8147,85.11931803,-10.86560814,7.539018628,5.460183854,5.41090949,0.087005524,0.213687561
8147.5,95.65845528,-10.36988552,7.426152543,5.599140645,5.537679972,0.092576814,0.214787851
8148,105.0627172,-6.792627831,7.011625806,5.835579665,5.636946066,0.085217403,0.219223889
8148.5,120.7459318,-2.19730599,6.745095645,6.075053115,5.708727017,0.078694485,0.231201227
