Depth (ft),GR (GAPI),SP (mV),GUARD (ohmm),MEDIUM (ohmm),DEEP (ohmm),DPHI (dec),NPHI (dec)
7981,84.16522981,-8.047186399,7.853098951,8.186868713,6.385893174,0.068505767,0.256443198
7981.5,84.83631765,-6.41536169,8.280754866,7.535007219,6.110488812,0.071180214,0.256600713
7982,84.24871284,-4.044992205,7.619033876,6.907578266,5.882611507,0.075658316,0.257183503
7982.5,86.20792483,-1.748820185,6.39037934,6.382631941,5.703065227,0.075228769,0.261879511
7983,88.3382694,-0.180312756,7.01002346,6.008051746,5.560680492,0.069351869,0.272753392
7983.5,91.90924944,0.2155003,7.142511132,5.794693465,5.459340772,0.061622851,0.283872415
7984,96.82225674,-0.190534954,3.620182732,5.598860021,5.419975221,0.070092381,0.295860391
7984.5,96.47152093,-0.604195652,6.445049128,5.415246444,5.46555075,0.075752753,0.300482622
7985,91.46374713,-1.440865528,6.846853228,5.408464029,5.63912758,0.075631652,0.298103675
7985.5,86.08583739,-4.047293829,6.055650051,5.760627161,5.997775692,0.075724987,0.298277529
7986,85.3898206,-6.656420947,6.536206192,6.453831504,6.28727419,0.07778055,0.296333437
7986.5,83.93259847,-8.13376628,7.249857806,6.898778486,6.490208203,0.085715505,0.285479642
7987,77.90689611,-9.218600301,7.995048081,7.404770001,7.386854256,0.08933454,0.265674988
7987.5,72.23127197,-10.68978008,9.337716998,8.153884628,8.240960952,0.090535501,0.246656767
7988,67.69394696,-13.23161331,12.10344775,9.108334404,8.891783167,0.09562025,0.233062882
7988.5,64.4999431,-17.4577924,14.11199589,10.763823,9.497680256,0.106984083,0.217490231
7989,63.15807732,-22.77195879,14.56233072,12.60166612,10.14898567,0.114381501,0.207924983
7989.5,62.32166575,-27.48738128,15.49241454,12.93293213,10.89988817,0.119953045,0.207585643
7990,57.6075642,-30.44211563,16.56654381,13.33575284,11.33961059,0.129408327,0.209857935
7990.5,50.19651089,-30.80398944,17.33013793,13.77432438,11.20393387,0.138012697,0.212140587
7991,63.9537096,-28.22011567,17.44198543,13.51595385,10.84612999,0.138043449,0.217219958
7991.5,52.72828754,-26.33702981,15.71734236,12.72807177,10.48585646,0.126934909,0.222908484
7992,71.76353385,-26.7153258,13.63281006,12.29144958,10.10143783,0.108904708,0.226614305
7992.5,78.50702506,-26.84045853,11.88800855,11.83457842,9.59230189,0.097412953,0.228662056
7993,72.42199201,-21.53543294,10.5507917,10.7809581,8.951534638,0.096061125,0.231192983
7993.5,75.54279402,-17.95599362,9.748423896,9.661580207,8.230542382,0.097974145,0.234727151
7994,77.44094436,-16.80769683,8.622732042,8.692817305,7.562910702,0.092234535,0.237807639
7994.5,80.79560583,-16.47837664,7.420234804,7.53111785,7.055996011,0.077208447,0.242027633
