Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8040.5,29.39893053,-41.9258111,37.28530761,6.345113341,13.34837351,0.136767665,0.189598403
8041,27.91203821,-49.35705439,32.00999567,13.39055714,16.481968,0.172871847,0.198019446
8041.5,29.97073317,-55.05795978,30.34218161,15.94609639,17.90405862,0.210096383,0.202002137
8042,29.88775487,-58.20714996,23.95173773,18.46749025,18.47722408,0.230114678,0.205898449
8042.5,29.29094099,-59.42490262,9.36265375,19.68166947,19.49077268,0.232683031,0.21146837
8043,29.86441098,-59.70774859,104.7871928,19.62983508,20.55259751,0.225021858,0.212949106
8043.5,29.51308641,-59.91736587,342.8096738,21.42383547,21.24943639,0.214507079,0.212047402
8044,28.83341432,-60.32033122,38.06899906,26.77147178,21.85078471,0.202998887,0.204476978
8044.5,26.53774687,-60.89793199,83.89718585,28.13208168,22.62201783,0.160280965,0.168500513
8045,26.46031476,-60.41923202,37.8364953,27.50099824,22.29190504,0.101346533,0.162100259
8045.5,26.663657,-59.03105082,41.97268992,25.93498564,19.9630528,0.078280765,0.183604219
8046,28.05271965,-58.82770886,24.53949665,20.36936143,18.70737116,0.104616812,0.212312574
8046.5,30.41116783,-60.0915268,22.72057622,12.95683425,20.67810812,0.145208,0.236395208
8047,31.081475,-59.28554501,22.2276941,10.46532581,15.05481644,0.173718153,0.234286271
8047.5,34.33224149,-53.03599729,21.81323368,8.737272557,10.2198334,0.195310957,0.223831318
8048,39.28989206,-47.88151441,21.3999615,7.913345033,8.133777538,0.191105946,0.221973977
8048.5,43.06423411,-46.60097282,19.7949125,7.616552064,6.175635065,0.185255868,0.230255529
8049,56.50755366,-45.04846435,13.58936486,7.42171125,5.315726381,0.174360651,0.238004161
8049.5,76.3505484,-40.56889356,11.08631092,7.015720651,5.091605112,0.142501453,0.248579394
8050,86.53606804,-36.30197483,8.699300251,6.243762119,5.016266977,0.12188844,0.263245018
8050.5,91.61588979,-35.36997189,7.877826391,5.496325582,4.875763494,0.113506838,0.255567789
8051,94.75423155,-36.22447291,8.123953331,5.041937284,4.699122269,0.112944156,0.252322284
8051.5,95.24504586,-37.29571931,8.044874334,4.766405264,4.518651139,0.121084125,0.255504798
8052,89.35149062,-37.99757826,7.136589472,4.59284173,4.349326581,0.128438789,0.260528246
8052.5,79.44150518,-38.19620705,6.533092904,4.470084143,4.202831681,0.148272159,0.262894199
8053,73.43537655,-38.05765294,6.376518107,4.389652232,4.094550409,0.170835699,0.265202317
8053.5,75.39380124,-37.37456831,6.304720369,4.356141063,4.045960752,0.164547388,0.27073174
8054,83.13096615,-34.19684506,6.366143995,4.369292911,4.079926926,0.152861856,0.273834224
8054.5,93.51802094,-27.2574756,6.831648927,4.418798567,4.222485481,0.135103741,0.268359764
8055,99.01666638,-19.72929943,6.882874873,4.493668272,4.434167733,0.122511411,0.2652822
8055.5,98.43569248,-13.99872855,6.440482112,4.58270113,4.593841608,0.123521322,0.264670301
8056,96.33686235,-10.05568673,6.16505912,4.682454134,4.7294216,0.119819439,0.262345675
8056.5,95.65057559,-7.895008179,5.929704676,4.819897451,4.885700424,0.114465506,0.265652785
8057,97.94481716,-7.298140175,5.774293889,4.996149014,4.988446658,0.10477341,0.274039533
8057.5,101.5472635,-7.255857402,6.016700492,5.168689479,5.026288212,0.099867899,0.279523826
8058,104.3987658,-7.467340992,5.98576415,5.28666529,5.045702681,0.090283599,0.281206409
8058.5,105.5410673,-7.718371397,5.961731403,5.298304887,5.087959938,0.091575102,0.284353312
8059,105.3280205,-8.095617018,5.916285702,5.211523391,5.124972428,0.088298643,0.290657265
8059.5,103.9627663,-8.820963441,5.85751887,5.095286278,5.092804864,0.10110102,0.295732416
8060,98.35492554,-9.847415753,5.936092675,5.013029223,4.992443948,0.113065155,0.286908188
8060.5,94.44776692,-10.63747326,6.003177127,4.953040977,4.897666716,0.109347676,0.273183735
8061,95.33427084,-11.46796452,5.899467176,4.853906593,4.866984578,0.106197156,0.271172163
8061.5,93.51964296,-12.85012818,5.802309959,4.726839176,4.867801923,0.10819842,0.275587286
8062,88.80473176,-15.20748049,5.782255527,4.620501472,4.815468326,0.106865045,0.280334472
8062.5,86.7152406,-17.61406506,5.794345862,4.579991253,4.751501174,0.107718492,0.282319583
8063,85.33274283,-18.11134652,5.839156966,4.633344707,4.722077776,0.107384772,0.282716602
8063.5,85.67803155,-16.1897283,5.958382867,4.745622828,4.713605106,0.083584433,0.282049666
8064,85.87937489,-13.41655635,6.133223691,4.876493358,4.698859989,0.087600224,0.279765575
8064.5,91.81529153,-10.19900469,6.219871251,4.996794528,4.658309509,0.091009386,0.275256124
8065,96.4425993,-7.061507253,6.259083729,5.065177974,4.61886994,0.093622614,0.269070593
8065.5,96.57418659,-5.006530257,6.250635404,5.006909898,4.590565324,0.089613675,0.266822826
8066,94.60796859,-4.164354702,6.139627034,4.831180475,4.549453062,0.090211697,0.275511483
8066.5,94.28096909,-4.093027758,5.900762346,4.636923065,4.473730239,0.091609771,0.300176597
8067,98.64922754,-4.340998372,5.376623523,4.458292526,4.380725917,0.07246031,0.315178786
8067.5,105.3441411,-4.518421532,4.870901582,4.288504591,4.314949824,0.052953815,0.333433516
8068,110.9120035,-4.643566189,4.57440776,4.169396053,4.30750188,0.030824448,0.354345662
8068.5,112.1856278,-4.900413782,4.215244064,4.159114499,4.317910875,0.032519592,0.364477787
8069,107.4246103,-5.463944398,4.47950267,4.247697744,4.372218308,0.056686598,0.361846426
8069.5,101.7672848,-6.153497528,4.863924903,4.377236334,4.521066057,0.075947837,0.350731692
8070,97.56152025,-6.334504546,6.070029152,4.48524304,4.681371428,0.082932496,0.339902167
8070.5,93.60420859,-5.928215532,6.401186413,4.683502701,4.732156361,0.081587447,0.306444364
8071,90.85006348,-6.473917833,6.404272698,4.942177117,4.92134724,0.077750828,0.287223581
8071.5,91.03857625,-9.095109086,6.182233906,5.014530196,4.929796549,0.079044831,0.291862878
8072,92.76961474,-10.85053734,5.845306059,4.942916566,4.891368673,0.090421654,0.299474735
8072.5,91.9318986,-11.60975545,5.568423461,4.799372213,4.855425757,0.100802845,0.295303499
8073,84.94452402,-13.78417307,5.519834468,4.647005907,4.808834084,0.111586303,0.28297703
8073.5,78.23889365,-17.67034876,5.72483811,4.542132532,4.711753282,0.15371189,0.269897583
8074,71.37221853,-22.44181504,6.327692686,4.532528651,4.531248992,0.155566133,0.260320617
8074.5,71.02588688,-26.92686144,7.483380194,4.577995038,4.322973964,0.152120598,0.255307161
