Depth (ft),GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7937.5,84.19437919,-3.785257127,5.533536501,5.045909818,4.373190142,0.088282736,0.268138715
7938,83.30559963,-4.039992304,5.597081548,5.157207136,4.525933926,0.084140531,0.264438508
7938.5,82.37874862,-4.149873,5.645958926,5.235975356,4.658116252,0.079984724,0.263422704
7939,81.62432184,-4.109689609,5.711537943,5.264995019,4.752090962,0.078280673,0.26337537
7939.5,81.33743199,-3.926975176,5.820988413,5.237640166,4.812789992,0.081477311,0.260376556
7940,81.63651222,-3.611058404,5.915112708,5.166548616,4.850542834,0.088203879,0.250397047
7940.5,83.00325811,-3.213177385,5.863251428,5.078519735,4.876503778,0.094182903,0.241345635
7941,83.90356636,-2.830398832,5.59661292,4.999438678,4.902230539,0.098718548,0.242274043
7941.5,83.78693642,-2.562117761,5.315400898,4.950679482,4.933264977,0.104375739,0.255912925
7942,83.41034376,-2.505853481,5.24684379,4.929156808,4.959283397,0.104459072,0.264880948
7942.5,81.35786962,-2.654050191,5.401745225,4.920842514,4.967265073,0.100405144,0.265701625
7943,79.68639319,-2.840440017,5.659898332,4.91194733,4.944243217,0.096153275,0.265347758
7943.5,80.09137161,-2.885576701,5.88653958,4.888832171,4.877995948,0.094086764,0.26794475
7944,79.57275179,-2.620075495,5.980820456,4.841471163,4.769216785,0.091147025,0.270852356
7944.5,79.42190171,-2.078195023,5.956578973,4.767697892,4.644261535,0.087374335,0.271136264
7945,79.91122058,-1.475944573,5.850397874,4.666874304,4.530648019,0.083962032,0.268735659
7945.5,80.90406321,-0.934812068,5.703919791,4.540575714,4.452963182,0.081733478,0.265443828
7946,82.59687737,-0.503465307,5.557495197,4.403753245,4.417298613,0.080622071,0.266342272
7946.5,85.32333252,-0.228933398,5.441823968,4.276148658,4.406980893,0.080449842,0.27205059
7947,85.73332042,-0.129320375,5.350882752,4.173339302,4.404470916,0.081090273,0.27776757
7947.5,83.86330699,-0.146708335,5.267049581,4.089588772,4.392456784,0.082023685,0.280397498
7948,84.09409498,-0.210839334,5.176699946,4.008515393,4.357869907,0.082474325,0.280610284
7948.5,84.4355809,-0.251455423,5.086460216,3.914927164,4.297429629,0.081828297,0.279516457
7949,84.2123162,-0.202680692,5.010569651,3.795174826,4.209746335,0.080579472,0.278368251
7949.5,84.64061374,-0.044880497,4.962084035,3.658777957,4.094120448,0.07938603,0.278498188
7950,85.54450462,0.213836661,4.935785065,3.567357686,3.953187809,0.077471468,0.281229214
7950.5,85.99286065,0.564985331,4.902659205,3.537795867,3.800142799,0.073861407,0.286255549
7951,87.86913651,1.000080065,4.836362184,3.550534531,3.649233012,0.070015113,0.289893489
7951.5,91.47891951,1.510075246,4.745564205,3.586794697,3.512659519,0.068691769,0.289205456
7952,94.91534793,2.043289787,4.657230561,3.628092735,3.399934026,0.070513056,0.285911715
7952.5,96.49072136,2.476167881,4.595060116,3.664952449,3.312538823,0.073949647,0.282846697
7953,95.51038803,2.681290155,4.562387359,3.700122642,3.248885438,0.077512394,0.281524426
7953.5,92.8016913,2.620899674,4.550342105,3.73730742,3.207857878,0.079845192,0.282018013
7954,89.74854998,2.359316625,4.550948644,3.780363627,3.188801664,0.08055472,0.284311566
7954.5,88.08256386,1.966406415,4.56574723,3.833449275,3.191400589,0.079840093,0.288310045
7955,87.74012004,1.512034454,4.603471979,3.904188502,3.215028898,0.077910239,0.293894052
