Depth (ft),GR (GAPI),SP (MV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
7980.5,116.0478826,2.519580404,3.673400228,2.928499354,2.808365814,0.079196518,0.323060696
7981,116.1786755,1.654074474,3.38820836,3.038112736,2.799681438,0.079095418,0.329151919
7981.5,119.8355104,0.651147576,3.235930148,3.134638492,2.778135951,0.064013529,0.337296372
7982,123.4252715,-0.444739264,3.420859893,3.22361677,2.813181221,0.042366462,0.353340609
7982.5,122.8134733,-1.58922039,4.030584408,3.367603158,3.013131237,0.014745853,0.370763478
7983,122.5893044,-2.738075001,4.526315797,3.647225515,3.524484732,0.006889771,0.367964339
7983.5,117.743184,-4.134370685,5.265294757,4.166680785,4.386692499,0.024873542,0.363951917
7984,103.8915049,-6.909537374,7.396745043,5.068666921,5.685473341,0.054480179,0.360192739
7984.5,85.84613092,-12.36616869,11.58620953,6.574258781,8.048506171,0.087579453,0.291879672
7985,69.79987459,-21.19192678,16.69961463,8.73101714,11.0841793,0.124968888,0.257558636
7985.5,57.01349986,-31.84343258,19.44929791,11.24175688,13.64457523,0.167725528,0.220433739
7986,47.6294847,-42.27149189,20.2190634,13.36983671,15.2786887,0.206001066,0.185811241
7986.5,41.72517416,-50.43224014,21.39165316,14.1386838,15.91208994,0.22922,0.173681007
7987,38.39175245,-55.21948024,21.84756691,13.84517703,15.75691874,0.241355409,0.170942033
7987.5,36.43111607,-57.53174622,19.58569948,13.15385298,15.0745287,0.24878001,0.166867862
7988,36.16974893,-58.48249541,17.6444466,12.09294863,14.03608052,0.255214096,0.164917704
7988.5,38.24689687,-58.36550651,16.47605586,10.69029178,12.80564249,0.261602559,0.165375092
7989,42.99346619,-56.75086742,14.92580089,9.050766984,11.52354025,0.256028241,0.166565559
7989.5,46.70676458,-54.1063522,9.05162665,7.478290705,10.16687991,0.236982622,0.167357573
7990,47.32537321,-50.45331929,5.996408737,6.225413772,8.533246353,0.217431361,0.16970486
7990.5,55.66273161,-43.55017079,5.276557569,5.356008031,6.716863341,0.171779893,0.176648289
7991,68.20744816,-33.34904907,5.53522145,4.747373675,5.302857636,0.146635863,0.190147016
7991.5,80.03183974,-29.82270418,6.072484083,4.287786565,4.469157351,0.119089945,0.205474659
7992,90.84657647,-29.18638283,5.759280071,3.903091217,3.983426731,0.124512778,0.215977954
7992.5,96.92873121,-27.70180834,4.574431221,3.541671682,3.676716239,0.134585764,0.223725498
7993,101.360875,-26.2830183,4.336005023,3.181905255,3.44105881,0.130422082,0.236007845
7993.5,107.085851,-27.86673218,4.259505401,2.868661898,3.212611823,0.119643553,0.2491883
7994,112.8230317,-33.06034736,4.764283496,2.646286515,2.995585065,0.113418346,0.253701919
7994.5,95.85371064,-39.6731884,5.815832869,2.527187186,2.804474643,0.137067427,0.245114713
7995,89.38126885,-46.4468219,5.957918759,2.483846498,2.647933055,0.177249662,0.233993318
7995.5,77.48507723,-52.31677743,5.876034316,2.491686722,2.529075166,0.194882293,0.229135759
7996,73.8377184,-56.66297296,5.801641585,2.530101902,2.45055541,0.196465715,0.22892368
7996.5,75.49050376,-59.95160116,5.529166854,2.579029221,2.415817772,0.193169668,0.230258223
7997,75.5712507,-62.44370706,5.396921947,2.624090016,2.428158317,0.188332724,0.230040529
7997.5,75.47380134,-63.94975606,5.457387172,2.667035653,2.474420058,0.18341326,0.225546533
7998,75.75455437,-64.47169061,5.559937681,2.712393839,2.530979343,0.178387261,0.219288165
7998.5,76.8963955,-64.26514246,5.554427688,2.765010097,2.572374777,0.173301731,0.215339879
7999,79.23566926,-63.5991565,5.448051245,2.830133664,2.579612401,0.16894806,0.214660469
7999.5,81.5242805,-62.7427776,5.309509129,2.904866285,2.561527574,0.166288448,0.215253644
8000,82.8382337,-61.94718807,5.215159972,2.903849898,2.533449464,0.166285096,0.215001425
8000.5,83.00256554,-61.3595292,5.552587926,2.820116448,2.509422776,0.169899869,0.214450944
8001,81.70847579,-61.08937569,5.771098225,2.717183624,2.464241738,0.177080712,0.214752341
8001.5,79.06793316,-61.23962499,5.78554596,2.650518154,2.356135815,0.184531237,0.217055759
8002,78.18399453,-61.70769713,5.841589519,2.629540895,2.256062995,0.189887288,0.221407771
8002.5,78.39812145,-62.15084752,6.035113615,2.62981435,2.21881753,0.194411305,0.221101397
8003,76.78470662,-62.2108141,6.360655935,2.626869662,2.276334969,0.198829783,0.214203432
8003.5,73.23236187,-61.44915317,7.048572481,2.608811856,2.47024558,0.199300792,0.209939585
8004,71.72859232,-59.31945981,5.998234713,2.630061731,2.758143815,0.195512299,0.212510707
8004.5,79.66147478,-55.25417299,5.477046411,2.739433903,2.99370536,0.189543136,0.218807001
8005,86.41833536,-48.64550388,4.96256696,2.890240464,3.162917703,0.1815403,0.226062254
8005.5,90.5432611,-39.00197141,4.487976464,3.007988785,3.296990513,0.166972196,0.233533004
8006,97.28631088,-26.76770915,4.387899385,3.158003349,3.436139724,0.144091479,0.240577697
8006.5,105.512501,-14.71593108,4.433000482,3.561296799,3.601109099,0.113099019,0.246149602
8007,109.3813312,-6.123940795,4.455689101,3.945146743,3.780932362,0.086597304,0.249251744
8007.5,111.9429068,-3.221248519,4.417135502,4.115145359,3.959905658,0.079910482,0.250156655
8008,113.8509322,-3.897055477,4.346311225,4.175307587,4.119328268,0.086340881,0.250050221
8008.5,113.4891229,-4.916884632,4.340757021,4.208654576,4.242676042,0.096316685,0.250059488
8009,110.0909162,-4.078795388,4.440843665,4.206880521,4.320803827,0.105657201,0.250066642
8009.5,104.8057324,-4.210190301,4.671133808,4.153213567,4.34752307,0.113019829,0.248961773
8010,102.6820684,-7.838444286,5.133764118,4.078367843,4.34021825,0.120751959,0.245704393
8010.5,101.5552738,-11.40317137,5.808351156,4.128991147,4.336286637,0.13161041,0.241097811
8011,94.13880956,-13.69541534,6.05432536,4.30958724,4.366918433,0.146105826,0.237596959
8011.5,86.3781423,-14.90121926,5.570436023,4.530793615,4.414162053,0.151679651,0.237715157
8012,86.86858233,-15.06234478,4.898630056,4.689960235,4.439273771,0.136400442,0.243564164
8012.5,94.71181891,-10.8707474,4.614318997,4.739439091,4.436216608,0.109922997,0.25349679
8013,100.7012685,-5.324655646,4.752720781,4.698610082,4.43056861,0.089683354,0.263812549
8013.5,102.3819722,-2.403322881,4.984646643,4.594551633,4.425714099,0.081508933,0.271185365
8014,103.8103179,-0.750003378,5.09467277,4.455482406,4.378276384,0.080893302,0.276077084
8014.5,104.6228813,0.610140031,5.091042866,4.307951369,4.242149003,0.083821372,0.281057936
8015,104.4068758,1.512642513,5.011300962,4.17185501,3.99608671,0.085894768,0.288720887
8015.5,105.2305743,1.752994087,4.87763286,4.005953747,3.682300975,0.081697583,0.301093629
8016,109.4216683,1.549805189,4.664785355,3.732601534,3.350063682,0.072462418,0.317563046
8016.5,113.3513781,1.242482519,4.375810766,3.373282767,3.054864583,0.059372518,0.336745477
8017,117.2005535,1.104813941,4.185230239,3.067551662,2.863426907,0.035098637,0.356559035
8017.5,121.0222531,0.034490709,4.153734925,2.920297118,2.832189137,0.017024665,0.371843586
8018,120.363017,-3.371901514,4.19214466,2.980705379,3.03379811,0.012276898,0.376590849
8018.5,113.6646287,-6.540593951,4.44267875,3.285587812,3.380953251,0.015326764,0.365470153
8019,104.6822512,-7.844794371,5.050955187,3.8344956,3.630675572,0.027181452,0.34361675
8019.5,92.38665384,-7.835171738,6.636371247,4.571038357,4.166397245,0.041699876,0.313240208
8020,86.11754955,-7.172778795,8.567879886,5.332296626,4.945113,0.05029772,0.251829334
8020.5,71.2299382,-6.496529154,4.322487789,5.830599612,5.573780514,0.052357909,0.208127332
8021,73.57868816,-6.36455405,5.767681004,5.911841178,5.748630613,0.054950582,0.198172415
8021.5,84.4015122,-7.337393913,5.276199972,5.635496396,5.427709113,0.066997672,0.215486286
8022,91.27335116,-11.02535064,5.021587201,5.122853547,4.930516189,0.085783788,0.235439178
8022.5,94.34044906,-18.68748909,5.02502708,4.469683804,4.842645255,0.105520842,0.245106338
8023,91.12094233,-22.92726789,5.481821156,3.738184522,4.558374192,0.126616782,0.245197501
8023.5,82.83870129,-23.44762425,6.691371933,3.102147688,4.004293709,0.138746246,0.241092262
8024,79.58980518,-22.29708637,6.059346799,2.708065941,3.462650045,0.133503168,0.243419698
8024.5,87.05283157,-21.19820339,5.540681299,2.496357009,2.982071533,0.119951302,0.258758375
