Depth (ft),GR (GAPI),SP (mV),RFOC (ohmm),RILM (ohmm),RILD (ohmm),DPHI (dec),NPHI (dec)
8109,101.5059726,-5.964046083,6.26375346,5.704480387,6.086145224,-999.25,0.229893705
8109.5,102.8472055,-5.574448266,6.296862948,5.810869823,6.120526497,-999.25,0.227987342
8110,103.7716177,-5.33905467,6.25286842,5.883559129,6.109004238,-999.25,0.22595428
8110.5,103.5341186,-5.010722903,6.133819114,5.911203673,6.053951769,-999.25,0.224265807
8111,102.810233,-5.004019726,5.958363708,5.883211188,5.858625717,-999.25,0.223386329
8111.5,102.6286286,-6.578161548,5.756540779,5.790585233,5.523281666,-999.25,0.22347798
8112,102.5776953,-9.716370398,5.55589007,5.637161465,5.23700709,-999.25,0.224288984
8112.5,101.5102937,-12.2211851,5.380391309,5.4567964,5.080426665,-999.25,0.225537655
8113,98.26299469,-14.41714782,5.251082877,5.285009895,5.012854346,-999.25,0.226942308
8113.5,91.50640476,-18.52682336,5.187585642,5.142392018,4.994753032,-999.25,0.228228299
8114,78.74181822,-23.62104898,5.210383472,5.030296751,4.98957031,-999.25,0.229443455
8114.5,57.6937138,-26.2085834,5.343996184,4.948528777,4.965461464,-999.25,0.231085075
8115,43.72264803,-23.60538792,5.596500245,4.893161691,4.915516518,-999.25,0.233584318
8115.5,56.56559719,-15.15203103,5.909965213,4.856786947,4.842425369,-999.25,0.236444745
8116,108.9563731,-8.473286796,6.201620449,4.832305158,4.749124656,-999.25,0.238664759
8116.5,108.3116104,-5.144884231,6.372519222,4.812882506,4.638672201,-999.25,0.239382466
8117,108.4525029,-3.469403693,6.318830258,4.79250308,4.514149143,-999.25,0.240922161
8117.5,106.3042048,-2.502863499,5.958207716,4.77725654,4.384234544,-999.25,0.248706827
8118,107.5642753,-1.913705668,5.26967615,4.783560844,4.288992216,-999.25,0.265425086
8118.5,111.9642147,-1.398167322,4.512784502,4.82701734,4.277136053,-999.25,0.286929617
8119,120.2909744,-1.060128438,4.1188332,4.91014596,4.399454248,-999.25,0.308256365
8119.5,122.9415689,-1.640524942,4.184059891,5.028291179,4.672626379,-999.25,0.324616611
8120,114.0609669,-3.928523995,4.542756321,5.176612257,5.047670656,-999.25,0.331376207
8120.5,114.3547645,-6.539225719,5.045213291,5.342634428,5.455779147,-999.25,0.327499601
8121,112.2298338,-6.925726821,5.60570146,5.504618666,5.814727597,-999.25,0.31566656
8121.5,102.0852525,-6.230681522,6.148744333,5.638498064,6.061088528,-999.25,0.298715954
8122,98.37241204,-5.59506091,6.57156488,5.784822568,6.149499081,-999.25,0.279117858
8122.5,100.0041809,-6.123417396,6.788602826,5.979263225,6.116820241,-999.25,0.258920728
8123,96.53373519,-8.753816212,6.758361704,6.136536489,6.03353098,-999.25,0.240359776
8123.5,87.85588761,-11.57176695,6.468085399,6.161969422,5.926036335,-999.25,0.225873108
8124,83.09206775,-12.67629419,6.059048602,6.015867566,5.762714234,-999.25,0.217907022
8124.5,82.94651842,-12.39477352,5.748424183,5.736824119,5.515718035,-999.25,0.218907819
8125,86.63142037,-11.44400487,5.518108593,5.383269901,5.208069169,-999.25,0.228515905
8125.5,90.4633416,-10.67096162,5.330801372,5.090476152,4.894633145,-999.25,0.232560591
8126,95.4704497,-10.64773929,5.154889272,4.890855974,4.620455046,-999.25,0.230915401
8126.5,100.7633876,-10.7545766,4.963572164,4.738840953,4.42031771,-999.25,0.23307215
8127,99.38935014,-10.68454617,4.763988079,4.629953571,4.30090115,-999.25,0.240759362
8127.5,97.13868303,-10.43540394,4.602572762,4.561158844,4.24300476,-999.25,0.250770574
8128,93.80781679,-10.15585345,4.522908148,4.54692784,4.229540767,-999.25,0.259748982
8128.5,90.39950777,-10.02253995,4.568208889,4.652446546,4.245375472,-999.25,0.263809143
8129,88.93604774,-10.20580248,4.753394737,4.780593044,4.276753623,-999.25,0.259831189
8129.5,91.30975138,-10.75005219,5.005878246,4.803730076,4.328511297,-999.25,0.252400994
8130,95.85529799,-11.58352269,5.217515835,4.75254902,4.418730027,-999.25,0.249579916
8130.5,95.78710923,-12.52051546,5.231577376,4.692141513,4.541457347,-999.25,0.253716576
8131,89.73560406,-13.02222846,5.240385855,4.685393932,4.661790092,-999.25,0.258988899
8131.5,84.39828916,-12.55507096,6.300280552,4.762149987,4.733389176,-999.25,0.258177795
8132,76.64170835,-11.66495575,8.074580446,4.875733617,4.771350204,-999.25,0.241311514
8132.5,63.11151489,-11.69886812,7.766809226,4.964921109,4.819135486,-999.25,0.202005592
8133,75.81047202,-14.02224295,6.251090562,4.969066236,4.909443767,-999.25,0.19211948
8133.5,84.52813765,-18.52726761,5.074896834,4.895848331,5.020906915,-999.25,0.189763168
8134,85.15098017,-21.38284761,5.028829806,4.80518406,5.114946484,-999.25,0.212784066
8134.5,82.06709076,-25.6215633,5.301490181,4.755210478,5.155292638,-999.25,0.238823154
8135,79.58796647,-28.87498928,4.959531151,4.802372549,5.148658596,-999.25,0.238806401
