Depth,GR (GAPI),SP (mV),LL3 (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
8000,97.31430153,0.693712056,4.424034906,3.138139615,3.17448401,0.073420804,0.305053283
8000.5,97.57731246,0.897497403,4.276759881,3.139316768,3.175832615,0.0709418,0.303375189
8001,98.87265387,0.837379499,4.060751456,3.138971355,3.182540176,0.066534211,0.305419871
8001.5,100.6064022,0.376287849,3.870679656,3.136810849,3.19663668,0.061838469,0.313129264
8002,102.1612303,-0.45891365,3.785745298,3.140401728,3.229630003,0.056766691,0.326175039
8002.5,102.9198832,-1.368219708,3.85720138,3.165263137,3.297842304,0.04342198,0.343043643
8003,102.4806995,-2.035412938,4.029147768,3.228055066,3.418259069,0.022417036,0.359307421
8003.5,101.1325105,-2.52699042,4.212724607,3.347783141,3.593417575,0.012697552,0.367616683
8004,99.26479268,-3.4108085,4.435159964,3.548442207,3.815450135,0.01502921,0.361857593
8004.5,96.06398987,-5.288656019,4.896095537,3.862106345,4.074784435,0.019443532,0.34757654
8005,89.28338737,-8.740915683,5.861669841,4.328072839,4.367157364,0.043266496,0.333465987
8005.5,76.5961371,-13.54421964,7.560457712,5.003679442,4.732428426,0.081560602,0.320673314
8006,58.26701395,-18.57769354,10.29594806,5.940275905,5.240446214,0.118773863,0.300795023
8006.5,41.70358483,-23.8027818,13.94245902,7.047335765,5.989971918,0.146889071,0.272617214
8007,33.42400459,-29.68861188,17.17545894,8.119996466,7.044870136,0.167421231,0.241717344
8007.5,31.86607727,-36.03794551,19.01580414,9.012920554,8.382647822,0.184478038,0.220936651
8008,33.53311306,-42.3505235,19.5242923,9.637281936,9.919458812,0.200030217,0.215268454
8008.5,35.25265311,-47.78024649,19.19147798,10.01989707,11.5140716,0.21112756,0.210565596
8009,36.17542131,-50.47720227,18.58014014,10.27985909,12.95757273,0.214623827,0.203688672
8009.5,36.46547209,-51.01608609,17.96656772,10.55442303,13.97621069,0.210513924,0.197687483
8010,36.29094372,-50.99263157,17.58559352,10.86252432,14.53844628,0.201604283,0.193039623
8010.5,35.77134814,-51.18425961,18.1323606,11.10969348,14.92247314,0.191458526,0.187948428
8011,34.90441958,-51.49391752,20.62104072,11.19021131,15.15821573,0.18425765,0.182180014
8011.5,33.70897074,-51.78199441,23.98472749,11.04854574,15.25419902,0.181042546,0.178357322
8012,33.02567353,-51.91447286,24.91379004,10.77499434,15.26753878,0.175218953,0.178496481
8012.5,34.23531127,-51.77604606,23.44046836,10.48157662,15.3458665,0.176911626,0.181371188
8013,36.17730236,-51.25531494,20.97114376,10.25017568,15.4034338,0.180907408,0.185032914
8013.5,37.47778239,-50.24104146,18.52964552,10.1200332,15.31703912,0.179758924,0.188497685
8014,40.25536333,-48.70173172,16.60363917,10.11282284,15.00520246,0.175347785,0.192378855
8014.5,42.82173579,-46.81358609,15.32044973,10.13430963,14.64706858,0.172003008,0.197187929
8015,42.28458499,-44.74579195,14.6491886,10.03690178,14.16809679,0.170242226,0.2025319
8015.5,39.90338094,-42.60617127,14.60325245,9.787378826,13.20406092,0.169758368,0.207814856
8016,38.30354204,-40.72788136,15.11293555,9.435979853,11.82630582,0.170159854,0.212440882
8016.5,40.71230208,-40.26442129,15.64009197,8.852295114,10.5866351,0.168473675,0.215833967
8017,40.98192152,-41.52097744,15.51108888,7.847949496,9.647834152,0.163272004,0.217905503
8017.5,44.17297044,-40.28663524,14.54314369,6.574049956,8.83983906,0.157318636,0.219071382
8018,71.12782294,-32.42658905,13.02817926,5.645666385,8.032265231,0.150496424,0.21977082
8018.5,88.12379769,-27.1201545,10.91793966,5.245474773,7.231429534,0.137810282,0.220571247
8019,89.05262486,-26.22622598,8.004837911,5.070424212,6.517117765,0.120846645,0.222832753
8019.5,86.1502083,-25.74643397,5.959153945,4.887249031,5.941616193,0.110145483,0.228217997
8020,87.30991847,-23.28937484,5.987567436,4.678444042,5.514207571,0.106233223,0.238045408
8020.5,89.11107047,-21.05340101,6.332133583,4.474687003,5.211034244,0.10672877,0.249749374
8021,88.93448155,-20.14086956,6.373412097,4.305797107,5.013836229,0.108734828,0.258316418
8021.5,88.29673381,-20.04838974,6.279027485,4.223656043,4.902145674,0.109804451,0.26011194
8022,89.0767547,-19.97089908,6.190895212,4.290530066,4.83416105,0.109062272,0.258393865
8022.5,92.54714472,-18.59951344,6.061994721,4.57231201,4.796668548,0.106095069,0.257399436
8023,93.72925978,-15.43409688,5.800340828,4.655131992,4.783749482,0.101447359,0.258261066
8023.5,92.2774506,-12.08988706,5.592809741,4.494813866,4.828768503,0.096115073,0.261162122
8024,91.50605296,-9.548103897,5.791609889,4.498301081,4.904975945,0.091096124,0.264143374
8024.5,92.61325615,-8.082602787,5.840924252,4.635633943,4.929786288,0.087167543,0.266204626
8025,94.68167917,-7.505534954,5.855261523,4.815709981,4.879320506,0.084567815,0.26691109
8025.5,96.00378659,-7.28645385,5.818301435,4.943860441,4.830991904,0.083454895,0.265901271
8026,96.16560015,-6.99437593,5.704309231,4.985238265,4.806544464,0.083973145,0.263409981
8026.5,95.15430275,-7.113790018,5.576811921,4.946964228,4.79042568,0.08601578,0.259962518
8027,93.58297746,-7.972852797,5.510763713,4.844439336,4.763859979,0.089254924,0.256086758
8027.5,91.09370197,-9.491262044,5.519262876,4.71729631,4.70185383,0.093454634,0.25231986
8028,86.21840476,-11.48440148,5.492852157,4.610272679,4.61174086,0.102677425,0.249206065
8028.5,81.11894845,-13.68646537,5.437896973,4.558712422,4.548869323,0.117413447,0.24728979
8029,78.02910462,-15.56543753,5.449850092,4.543316463,4.526490156,0.127745326,0.24699406
8029.5,77.34628545,-15.94118791,5.58143899,4.516523836,4.533655758,0.128124095,0.2482355
8030,79.06831732,-13.98230356,5.759222661,4.464930312,4.559827601,0.11665921,0.250799565
8030.5,82.64610625,-10.44318126,5.89282065,4.448340973,4.594574593,0.096793772,0.254561721
