Depth (ft),GR (GAPI),SP (mV),SFLU (ohmm),ILM (ohmm),ILD (ohmm),DPHI (dec),NPHI (dec)
7975.5,111.9886087,7.857193416,4.058456108,3.143147684,2.953167193,0.046042014,0.316522257
7976,115.9233076,7.83471581,3.8797892,3.195543751,2.973844163,0.048164671,0.324388106
7976.5,117.3156992,7.825483603,3.720135172,3.239800814,2.987198823,0.046963091,0.332526984
7977,116.24744,7.827184872,3.708742939,3.278006762,2.999920132,0.044081031,0.335938852
7977.5,114.4385975,7.83750769,3.834891989,3.313641081,3.018830885,0.041193776,0.333115642
7978,112.8264637,7.854140132,4.07827048,3.350889014,3.05095143,0.039482908,0.323980341
7978.5,107.8928187,7.874770275,4.367820401,3.393153555,3.103724108,0.039064817,0.306167695
7979,103.4930249,7.897810296,4.557141796,3.435891613,3.184384764,0.040153729,0.285573902
7979.5,105.0730969,7.928533445,4.39459464,3.470312997,3.2873125,0.042983702,0.281519113
7980,109.52591,7.97599737,4.073129272,3.488007867,3.39613792,0.047057597,0.291065385
7980.5,118.3332369,8.04929934,3.999275187,3.48752224,3.492064277,0.050838409,0.304803981
7981,120.0657645,8.157429987,4.000531809,3.471560596,3.546701891,0.052938878,0.316303298
7981.5,120.6232065,8.290312309,3.988624763,3.44305284,3.514405243,0.053470816,0.319532584
7982,117.7586219,8.396945925,4.038323994,3.405007855,3.392855902,0.053148837,0.319160135
7982.5,112.6753876,8.421035786,4.232411139,3.365377334,3.252554124,0.052689197,0.319258193
7983,108.625033,8.306286844,4.612603608,3.344535715,3.161910773,0.052808153,0.314868724
7983.5,106.9725292,7.996404051,4.749433838,3.363441604,3.152646477,0.054013747,0.303734828
7984,108.1219418,7.435092359,4.389720163,3.414893352,3.200237053,0.050632603,0.298575105
7984.5,112.1240071,6.56605672,3.963177037,3.460829881,3.277068276,0.030024017,0.300107279
7985,116.2382117,5.342064249,3.784835535,3.466649023,3.376190372,-0.001477437,0.341504393
7985.5,115.3967203,3.898951244,4.009075615,3.445219074,3.50861818,-0.010421346,0.351742818
7986,110.2767273,2.542552775,4.469746187,3.430167418,3.680134654,-0.009213162,0.386763623
7986.5,105.4093613,1.578333792,4.869825335,3.454853376,3.776547727,0.009058628,0.381658193
7987,102.7344361,0.973424871,4.849215505,3.554948647,3.932753219,0.021721234,0.343770611
7987.5,101.7183329,0.207491912,4.6193919,3.83151954,4.452021005,0.027717371,0.335303653
7988,96.61098533,-1.299888211,4.810104791,4.531262138,5.17009283,0.031908827,0.35755281
7988.5,81.3124696,-4.777759195,6.066921592,5.663011787,5.865599458,0.039529024,0.350105247
7989,67.34923072,-11.60502288,9.50694882,7.028620974,6.498084321,0.057022877,0.253042818
7989.5,56.74438079,-19.81852183,15.58928556,8.678867397,7.245369657,0.083423076,0.183267106
7990,48.50399356,-26.44164973,21.69501727,10.49473984,8.420756856,0.112349975,0.181956678
7990.5,41.89409838,-29.71272104,22.33332032,11.97662252,10.4262227,0.136392061,0.183216652
7991,37.77640949,-31.11532238,20.46536145,12.53795129,12.26346534,0.150742635,0.182239703
7991.5,37.30470241,-32.84386166,21.88287415,12.29592296,12.80295253,0.163610514,0.180974882
7992,39.02457091,-35.71866601,23.36647161,11.72894344,12.55662905,0.183471922,0.181369589
7992.5,40.64161771,-37.13309561,23.25723382,11.24216415,12.18968618,0.18897839,0.184462217
7993,45.40414013,-36.45018274,21.21518818,10.84051951,11.6734617,0.172212167,0.188926546
7993.5,53.24978236,-35.15226689,18.36390022,10.40316347,11.15013402,0.165484114,0.193327238
7994,59.70443856,-34.39778464,16.21645929,9.839949402,10.86945338,0.160450053,0.196277918
7994.5,62.07468973,-34.41931578,13.90669805,9.418761653,10.8289397,0.146659928,0.196349942
7995,59.78585145,-35.24738629,12.3785742,9.618780655,10.99667383,0.132792484,0.19221616
7995.5,55.41072026,-36.80303108,12.74089307,10.2197195,11.29180533,0.139052179,0.18567169
7996,51.14381039,-38.96658511,14.64820182,10.76969201,11.61362326,0.158241756,0.181892898
7996.5,46.27106917,-41.27247795,17.74379305,11.15263963,11.89071102,0.173117934,0.181493494
7997,40.35395185,-43.06128161,21.42671223,11.55588578,12.07470157,0.180279663,0.181450385
7997.5,39.11990347,-44.07953881,24.45620365,12.0041553,12.10378736,0.181714516,0.184650989
7998,43.53863379,-44.41413127,24.23998847,12.20626428,11.90221383,0.18048039,0.189796165
7998.5,46.66304122,-44.16235898,19.28087778,11.83950887,11.47314415,0.179687713,0.197341425
7999,46.13867196,-43.47105838,17.1661587,10.94897174,10.90873639,0.180276004,0.202319912
7999.5,45.32164731,-42.62200749,17.95469721,10.09494735,10.29145919,0.177428071,0.202947107
8000,47.50039225,-41.85464567,18.15636849,9.69729496,9.673633797,0.168934441,0.206314149
8000.5,54.51084056,-40.81310809,15.94359348,9.453979485,9.094801671,0.157160803,0.21135996
8001,64.31108347,-38.82241581,13.2836287,8.684613795,8.587966115,0.148594567,0.217701615
8001.5,71.90520458,-35.47104077,11.344883,7.669639539,8.18412025,0.141344288,0.21791169
8002,73.98731983,-32.26876964,10.09026038,7.223402004,7.922105981,0.132454297,0.218620734
8002.5,71.36187761,-30.44612214,9.441638597,7.21911698,7.842372445,0.124133865,0.221666733
8003,66.79793289,-29.94423324,9.390051177,7.512829081,7.943153848,0.118599454,0.224005816
8003.5,61.2609965,-30.49054393,10.10995398,7.995060609,8.151230054,0.117575709,0.217772684
8004,54.90183981,-31.31964815,12.24539222,8.563950194,8.384507317,0.124465414,0.199977971
8004.5,48.78092302,-31.65117692,16.38755802,9.170831979,8.571110858,0.145403308,0.185234011
8005,47.28001348,-31.71778919,21.35334916,9.855698898,8.740822083,0.157804454,0.176847051
8005.5,45.58655279,-31.56995167,24.41168479,10.49035906,8.965496496,0.148576291,0.168951128
8006,43.0902269,-26.23371594,25.01953471,10.75042881,9.265802603,0.132459166,0.15316062
8006.5,44.45287839,-21.38182961,24.48072444,10.41149959,9.259368489,0.113197302,0.134897092
8007,47.97963134,-18.13789898,21.18978879,9.673557647,8.482882595,0.091728685,0.150560582
